Id,Designator,Package,Quantity,Designation,Part #
1,U1,QFN-48-TE,1,ADP5050,ADP5050ACPZ
2,Q1,PowerPak1212,1,Si7232DN,Si7232DN || Si7228DN
3,RT1,R_0402,1,38.4k½,Generic
4,"RFB8,RFB7",R_0402,2,21.5k½,Generic
5,RFB6,R_0402,1,8.87k½,Generic
6,RFB5,R_0402,1,4.99k½,Generic
7,"RFB4,RFB3,RFB2",R_0402,3,10.2k½,Generic
8,RFB1,R_0402,1,13.3k½,Generic
9,"RCOMP4,RCOMP3,RCOMP1",R_0402,3,10k½,Generic
10,RCOMP2,R_0402,1,6.81k½,Generic
11,"R10,R9",R_0402,2,22k½,Generic
12,"CVREG1,CVDD1",C_0402,2,1µF,GRM155R60J105KE19D
13,"CCOMP4,CCOMP3,CCOMP2,CCOMP1",C_0402,4,2.2nF,GRM155R61E222KA01D
14,"CBST4,CBST3,CBST2,CBST1",C_0402,4,0.1µF,GRM155R61C104KA88D
15,"COUT2.5V_HPS1,COUT2.5V1",C_0603,2,22µF,GRM188R60J226MEA0
16,"COUT1V4,COUT1V3,COUT1V2,COUT1V1",C_0805,4,47µF,GRM21BR60J476ME15
17,"CIN4,CIN3,CIN2,CIN1",C_0805,4,10µF,GRM219R61E106KA12
18,"L_HPS1,L2V1",TYD6045,2,4.7µH,NRS4018T-4R7MDGJ
19,"L1V2,L1V1",TYD6045,2,2.2µH,NRS6045-2R3NMGK
